Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature,Liters of pure alcohol
Nepal,South Asia,5.36,8.256,0.748,61.847,0.808,0.146,0.783,"30,899,443",171.0,156.0,32.8,14.39,0.36
Armenia,Middle East,5.342,9.615,0.79,67.789,0.796,-0.155,0.705,"2,989,091",154.0,69.0,25.2,8.64,3.77
Tajikistan,Central Asia,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,"9,245,937",139.0,179.0,34.0,5.09,0.85
Algeria,Africa,5.329,9.3,0.855,66.549,0.571,-0.117,0.717,"44,758,398",182.0,143.0,27.6,24.11,0.59
Hong Kong S.A.R. of China,n/a,5.308,10.966,0.817,77.28,0.687,-0.026,0.385,n/a,n/a,n/a,n/a,n/a,n/a
Albania,Europe,5.277,9.567,0.718,69.15,0.794,-0.007,0.878,"3,101,621",179.0,90.0,30.8,13.31,4.4
Indonesia,East and Southeast Asia,5.277,9.385,0.804,63.048,0.88,0.531,0.876,"279,476,346",60.0,123.0,37.9,25.96,0.08
South Africa,Africa,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,"58,048,332",216.0,135.0,63.0,18.42,7.21
Congo (Brazzaville),n/a,5.267,8.095,0.605,56.85,0.73,-0.004,0.739,n/a,n/a,n/a,n/a,n/a,n/a
North Macedonia,Europe,5.254,9.703,0.805,66.5,0.769,0.131,0.902,"2,133,410",190.0,59.0,33.0,n/a,3.9
Venezuela,South America,5.211,5.527,0.839,64.05,0.659,0.128,0.811,"30,518,260",110.0,126.0,39.0,25.52,2.51
Laos,East and Southeast Asia,5.111,8.962,0.679,60.946,0.919,0.091,0.703,"7,852,377",12.0,168.0,38.8,24.05,8.15
Georgia,Middle East,5.109,9.646,0.716,64.95,0.786,-0.254,0.649,"4,936,390",180.0,75.0,34.5,9.92,7.45
Guinea,Africa,5.072,7.88,0.649,54.185,0.659,0.125,0.787,"13,607,249",105.0,206.0,29.6,25.95,0.33
Ukraine,Europe,5.071,9.314,0.878,64.55,0.795,0.24,0.907,"43,306,477",168.0,15.0,25.6,10.04,5.69
Ivory Coast,n/a,5.053,8.576,0.572,55.953,0.733,0.003,0.746,n/a,n/a,n/a,n/a,26.84,n/a
Gabon,Africa,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,"2,397,368",209.0,185.0,38.0,25.46,6.47
Nigeria,Africa,4.981,8.496,0.74,54.891,0.718,0.073,0.911,"230,842,743",51.0,207.0,35.1,27.15,4.49
Cameroon,Africa,4.973,8.217,0.686,55.847,0.686,0.015,0.846,"30,135,732",70.0,214.0,46.6,24.94,4.09
Mozambique,Africa,4.954,7.116,0.692,51.53,0.851,0.047,0.66,"32,513,805",63.0,220.0,54.0,24.42,1.46
Iraq,Middle East,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,"41,266,109",199.0,182.0,29.5,23.81,0.16
State of Palestine,n/a,4.908,8.716,0.859,n/a,0.694,-0.132,0.836,n/a,n/a,n/a,n/a,n/a,n/a
Morocco,Africa,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,"37,067,420",163.0,133.0,39.5,19.1,0.51
Iran,Middle East,4.876,9.61,0.778,66.6,0.593,0.173,0.747,"87,590,873",161.0,109.0,40.9,19.3,0.02
Senegal,Africa,4.855,8.155,0.629,59.999,0.772,0.011,0.846,"18,384,660",44.0,212.0,38.1,29.0,0.25
Mauritania,Africa,4.724,8.591,0.644,60.475,0.622,-0.013,0.657,"4,244,878",170.0,183.0,32.6,28.9,0.0
Burkina Faso,Africa,4.638,7.667,0.663,55.461,0.696,0.095,0.771,"22,489,126",104.0,216.0,47.3,29.28,7.28
Namibia,Africa,4.631,9.121,0.787,56.851,0.669,-0.126,0.83,"2,777,232",207.0,180.0,59.1,20.24,2.38
Turkiye,n/a,4.614,10.307,0.796,68.663,0.475,-0.077,0.795,n/a,n/a,n/a,n/a,n/a,n/a
Ghana,Africa,4.605,8.596,0.641,58.763,0.777,0.139,0.881,"33,846,114",53.0,189.0,43.5,27.73,1.59
Pakistan,South Asia,4.555,8.54,0.601,57.313,0.766,0.008,0.787,"247,653,551",108.0,178.0,29.6,22.23,0.04
Niger,Africa,4.501,7.091,0.59,56.55,0.788,0.032,0.734,"25,396,840",4.0,227.0,37.3,27.61,0.11
Tunisia,Africa,4.497,9.244,0.73,67.0,0.576,-0.213,0.907,"11,976,182",197.0,101.0,32.8,21.44,1.51
Kenya,Africa,4.487,8.458,0.69,58.499,0.696,0.288,0.852,"57,052,004",116.0,194.0,40.8,25.22,1.68
