Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature
Madagascar,Africa,4.019,7.29,0.65,58.05,0.522,0.075,0.742,"28,812,195",50,193,42.6,22.7
Zambia,Africa,3.982,8.074,0.694,55.032,0.791,0.098,0.818,"20,216,029",121,218,57.1,21.92
Tanzania,Africa,3.694,7.857,0.653,59.401,0.838,0.182,0.554,"65,642,682",33,213,40.5,22.9
Comoros,Africa,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,"888,378",118,181,45.3,23.74
Malawi,Africa,3.495,7.302,0.531,58.475,0.75,0.005,0.749,"21,279,597",97,202,38.5,22.55
Botswana,Africa,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,"2,417,596",211,159,53.3,22
Congo (Kinshasa),n/a,3.207,7.007,0.652,55.375,0.664,0.086,0.834,n/a,n/a,n/a,n/a,n/a
Zimbabwe,Africa,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,"15,418,674",158,191,50.3,21.83
Sierra Leone,Africa,3.138,7.394,0.555,54.9,0.66,0.105,0.858,"8,908,040",55,208,35.7,26.64
Lebanon,Middle East,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,"5,331,203",178,89,31.8,15.66
Afghanistan,South Asia,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,"39,232,003",193,203,29.4,14.48
